# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Air temperature (°C),Air pressure (mbar),Simulation time step (s),Apogee (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0,0,0,5.893,856.1,0.01,0
# Event LIFTOFF occurred at t=0.02 seconds
0.02,33.3454,33.3438,33.0136,5.893,856.1,0.01,89.152
0.03,51.2435,51.2352,50.3484,5.893,856.1,0.01,180.464
0.04,58.0888,58.0684,56.5906,5.893,856.1,0.01,222.695
0.05,60.7254,60.6872,58.6189,5.893,856.1,0.01,240.006
0.06,61.8766,61.815,59.1613,5.892,856.1,0.01,247.753
0.07,62.5104,62.4198,59.1862,5.892,856.1,0.01,252.008
0.08,62.9673,62.842,59.0343,5.891,856,0.01,255.059
0.09,63.3658,63.2004,58.8241,5.89,856,0.01,257.658
0.099,63.6794,63.4732,58.5927,5.89,856,0.009,259.684
0.108,64.012,63.7609,58.3806,5.889,856,0.009,261.787
0.115,64.2184,63.9298,58.1706,5.888,856,0.007,263.069
0.122,64.479,64.1505,58.0151,5.888,856,0.007,264.696
# Event LAUNCHROD occurred at t=0.129 seconds
0.129,64.7485,64.3776,57.8687,5.887,856,0.00699999,266.376
0.139,65.2388,64.8023,57.7489,5.886,856,0.01,269.489
0.154,66.0198,65.4739,57.5927,5.884,855.9,0.015,274.426
0.177,67.2602,66.522,57.3637,5.881,855.9,0.023,282.215
0.211,69.148,68.0716,57.0311,5.876,855.8,0.034,293.913
0.261,72.0762,70.3883,56.6052,5.867,855.7,0.05,311.843
0.311,74.6485,72.2238,55.8112,5.855,855.5,0.05,326.586
0.361,77.2972,74.0202,55.0912,5.842,855.2,0.05,341.387
0.411,80.1077,75.8725,54.5337,5.827,855,0.05,356.877
0.461,83.083,77.7935,54.1432,5.81,854.7,0.05,373.141
0.511,86.0727,79.6418,53.7779,5.79,854.4,0.05,389.097
0.561,88.5975,80.9465,52.9901,5.769,854.1,0.05,400.868
0.611,90.9705,82.0283,52.09,5.746,853.7,0.05,411.012
0.661,93.3611,83.0627,51.2388,5.721,853.3,0.05,420.839
0.711,95.8301,84.1155,50.4877,5.695,852.8,0.05,430.997
0.761,98.4022,85.2152,49.8503,5.666,852.4,0.05,441.607
0.811,101.093,86.3792,49.3294,5.636,851.9,0.05,452.885
0.861,103.991,87.698,48.997,5.604,851.3,0.05,465.707
0.911,107.171,89.2447,48.9065,5.57,850.8,0.05,480.589
0.961,110.566,90.9515,48.9765,5.535,850.2,0.05,497.058
1.011,114.156,92.7957,49.1717,5.498,849.6,0.05,514.957
1.061,117.932,94.7637,49.467,5.459,849,0.05,534.199
1.111,121.896,96.8507,49.8472,5.419,848.3,0.05,554.783
1.161,126.037,99.0416,50.288,5.377,847.6,0.0500001,576.705
1.211,130.345,101.318,50.7642,5.334,846.9,0.05,599.625
1.261,134.822,103.675,51.263,5.289,846.2,0.0500001,623.605
1.311,139.469,106.104,51.7726,5.243,845.5,0.05,648.605
1.359,143.951,108.379,52.178,5.199,844.8,0.048,672.376
1.409,149.148,111.148,52.8872,5.15,844,0.0500001,701.42
1.459,154.565,114.017,53.6163,5.1,843.2,0.05,731.851
1.509,160.19,116.967,54.3439,5.049,842.4,0.05,763.499
1.559,166.035,120,55.0725,4.996,841.6,0.0500001,796.617
1.609,172.108,123.119,55.8023,4.942,840.8,0.05,830.83
1.655,177.737,125.927,56.3815,4.89,840,0.046,862.012
1.705,184.424,129.363,57.2592,4.834,839.1,0.0500001,900.328
1.755,191.242,132.767,58.0208,4.777,838.2,0.05,938.738
1.805,198.225,136.164,58.6972,4.718,837.3,0.05,977.508
1.855,205.393,139.568,59.3056,4.658,836.3,0.0500001,1016.77
1.902,212.121,142.606,59.6733,4.601,835.5,0.0469999,1052.22
1.952,219.745,146.105,60.2402,4.539,834.5,0.0500001,1093.21
2.002,227.505,149.547,60.6847,4.476,833.5,0.0500001,1133.92
2.052,235.448,152.975,61.0548,4.413,832.5,0.05,1175.23
2.102,243.614,156.427,61.3906,4.348,831.5,0.05,1216.69
2.152,251.995,159.891,61.6851,4.282,830.5,0.05,1258.56
2.202,260.589,163.361,61.9365,4.215,829.4,0.05,1300.79
2.252,269.371,166.814,62.1243,4.147,828.4,0.0500002,1343.03
2.302,278.334,170.238,62.2432,4.079,827.3,0.05,1385.21
2.352,287.473,173.627,62.2916,4.009,826.2,0.05,1427.81
2.402,296.774,176.966,62.2594,3.939,825.1,0.05,1469.47
2.452,306.24,180.257,62.1538,3.868,824,0.05,1510.76
2.502,315.885,183.514,61.9928,3.796,822.9,0.0500002,1551.8
2.552,325.728,186.758,61.7997,3.724,821.8,0.05,1593.62
2.602,335.748,189.969,61.5597,3.651,820.7,0.05,1634.46
2.652,345.934,193.136,61.2648,3.577,819.5,0.05,1674.93
2.702,356.253,196.226,60.8885,3.502,818.3,0.05,1714.68
2.752,366.706,199.241,60.437,3.427,817.2,0.0500002,1754.56
2.802,377.298,202.188,59.9212,3.351,816,0.05,1792.92
2.852,388.043,205.084,59.3614,3.275,814.8,0.05,1831.8
2.902,398.928,207.918,58.7498,3.198,813.6,0.05,1869.11
2.952,409.963,210.702,58.1024,3.121,812.4,0.05,1905.92
3.002,421.117,213.408,57.3945,3.043,811.2,0.0500002,1943.06
3.052,430.368,213.945,54.6347,2.965,810,0.05,1957.5
3.102,437.392,211.937,49.5272,2.886,808.8,0.05,1943.69
3.152,445.256,210.518,45.1348,2.808,807.5,0.05,1937.96
3.202,454.158,209.92,41.6588,2.729,806.3,0.05,1942.31
3.252,463.464,209.518,38.478,2.651,805.1,0.0500002,1947.97
3.302,472.947,209.092,35.376,2.573,803.9,0.05,1953.55
# Event BURNOUT occurred at t=3.35 seconds
3.35,481.929,208.334,32.1307,2.498,802.7,0.0479999,1955.38
3.4,492.571,208.733,30.0294,2.421,801.5,0.0500002,1971.52
3.45,504.449,210.256,29.08,2.344,800.3,0.05,1999.03
3.5,516.743,212.088,28.4703,2.267,799.1,0.05,2031.09
3.55,529.188,213.968,27.9445,2.191,797.9,0.05,2062.76
3.6,541.682,215.797,27.4065,2.115,796.7,0.05,2093.97
3.65,554.18,217.533,26.8201,2.039,795.6,0.0500002,2125.35
3.7,566.672,219.171,26.1831,1.964,794.4,0.05,2154.72
3.75,579.161,220.718,25.5053,1.89,793.3,0.05,2184.29
3.8,591.632,222.162,24.7784,1.815,792.2,0.05,2211.67
3.85,604.068,223.488,23.9918,1.741,791.1,0.05,2237.86
3.9,616.469,224.702,23.1543,1.668,790,0.0500002,2264.14
3.95,628.84,225.812,22.2761,1.594,788.9,0.05,2288.15
4,641.186,226.827,21.3685,1.522,787.9,0.05,2311.14
4.05,653.504,227.748,20.4343,1.449,786.8,0.0500002,2334.49
4.1,665.802,228.589,19.4888,1.377,785.7,0.0499997,2355.79
4.15,678.06,229.332,18.5168,1.305,784.7,0.0500002,2376.01
4.2,690.259,229.962,17.505,1.234,783.6,0.0499997,2396.42
4.25,702.403,230.487,16.4631,1.163,782.6,0.0500002,2414.37
4.3,714.495,230.914,15.3988,1.092,781.5,0.0500002,2431.36
4.35,726.534,231.246,14.3176,1.022,780.5,0.0499997,2448.61
4.4,738.534,231.501,13.2368,0.952,779.4,0.0500002,2463.82
4.45,750.5,231.688,12.1662,0.882,778.4,0.0499997,2478.24
4.5,762.419,231.8,11.0974,0.813,777.4,0.0500002,2493.19
4.55,774.269,231.817,10.013,0.744,776.3,0.0500002,2505.87
4.6,786.048,231.741,8.91475,0.675,775.3,0.0499997,2517.48
4.65,797.756,231.575,7.80649,0.607,774.3,0.0500002,2529.43
4.7,809.398,231.328,6.69689,0.539,773.3,0.0499997,2539.18
4.75,820.98,231.01,5.59558,0.471,772.3,0.0500002,2548.15
4.8,832.505,230.629,4.50892,0.404,771.3,0.0500002,2557.74
4.85,843.981,230.196,3.4471,0.337,770.3,0.0499997,2565.42
4.9,855.398,229.705,2.40386,0.27,769.3,0.0500002,2572.46
4.95,866.736,229.138,1.36131,0.204,768.4,0.0499997,2579.88
5,877.998,228.504,0.325923,0.138,767.4,0.0500002,2585.29
5.05,889.174,227.792,-0.711805,0.072,766.4,0.0500002,2589.81
5.1,900.28,227.025,-1.73177,0.007,765.4,0.0499997,2593.7
5.15,911.321,226.208,-2.72844,-0.058,764.5,0.0500002,2598.2
5.2,922.291,225.341,-3.70591,-0.123,763.5,0.0499997,2600.89
5.25,933.187,224.423,-4.66403,-0.187,762.6,0.0500002,2602.92
5.3,944.024,223.472,-5.58846,-0.252,761.6,0.0500002,2604.6
5.35,954.789,222.478,-6.48983,-0.315,760.7,0.0499997,2606.89
5.4,965.48,221.441,-7.36984,-0.379,759.7,0.0500002,2607.5
5.45,976.087,220.354,-8.23704,-0.442,758.8,0.0499997,2607.43
5.5,986.62,219.23,-9.07988,-0.505,757.9,0.0500002,2608.06
5.55,997.067,218.058,-9.91029,-0.567,756.9,0.0500002,2606.98
5.6,1007.44,216.853,-10.7151,-0.63,756,0.0499997,2605.41
5.65,1017.74,215.618,-11.4947,-0.692,755.1,0.0500002,2603.42
5.7,1027.98,214.368,-12.2353,-0.753,754.2,0.0499997,2602.31
5.75,1038.14,213.09,-12.9508,-0.814,753.3,0.0500002,2599.71
5.8,1048.23,211.786,-13.6426,-0.876,752.4,0.0500002,2596.74
5.85,1058.25,210.46,-14.3077,-0.936,751.5,0.0499997,2593.45
5.9,1068.19,209.114,-14.9451,-0.997,750.6,0.0500002,2590.92
5.95,1078.06,207.751,-15.5561,-1.057,749.7,0.0499997,2587.05
6,1087.86,206.367,-16.1449,-1.117,748.8,0.0500002,2582.88
6.05,1097.58,204.963,-16.7118,-1.176,747.9,0.0500002,2578.41
6.1,1107.22,203.546,-17.253,-1.236,747,0.0499997,2573.71
6.15,1116.79,202.111,-17.7743,-1.295,746.2,0.0500002,2569.64
6.2,1126.29,200.672,-18.2635,-1.353,745.4,0.0499997,2564.48
6.25,1135.72,199.223,-18.7294,-1.412,744.5,0.0500002,2559.18
6.3,1145.09,197.772,-19.1647,-1.47,743.7,0.0500002,2553.75
6.35,1154.39,196.32,-19.5717,-1.528,742.9,0.0499997,2549.1
6.4,1163.63,194.871,-19.9477,-1.586,742.1,0.0500002,2543.52
6.45,1172.8,193.416,-20.3031,-1.643,741.3,0.0499997,2537.8
6.5,1181.9,191.957,-20.6375,-1.7,740.5,0.0500002,2531.97
6.55,1190.93,190.502,-20.9452,-1.757,739.7,0.0500002,2526.1
6.6,1199.9,189.046,-21.2328,-1.813,738.9,0.0499997,2520.95
6.65,1208.79,187.585,-21.5053,-1.869,738.1,0.0500002,2514.86
6.7,1217.61,186.121,-21.7617,-1.925,737.3,0.0499997,2508.67
6.75,1226.37,184.655,-22.0024,-1.981,736.5,0.0500002,2502.39
6.8,1235.06,183.196,-22.2206,-2.036,735.8,0.0500002,2496.82
6.85,1243.7,181.75,-22.4116,-2.092,735,0.0499997,2490.62
6.9,1252.3,180.335,-22.5605,-2.147,734.2,0.0500002,2484.71
6.95,1260.84,178.932,-22.6871,-2.201,733.4,0.0499997,2478.87
7,1269.32,177.537,-22.7964,-2.255,732.7,0.0500002,2473.02
7.05,1277.73,176.15,-22.8889,-2.31,731.9,0.0500002,2467.25
7.1,1286.09,174.764,-22.9745,-2.363,731.2,0.0499997,2462.02
7.15,1294.38,173.385,-23.0467,-2.417,730.4,0.0500002,2456.19
7.2,1302.6,172.009,-23.1106,-2.47,729.7,0.0499997,2450.32
7.25,1310.76,170.637,-23.166,-2.523,728.9,0.0500002,2444.47
7.3,1318.88,169.286,-23.1989,-2.576,728.2,0.0500002,2438.75
7.35,1326.94,167.957,-23.2077,-2.629,727.4,0.0499997,2433.85
7.4,1334.96,166.643,-23.2013,-2.681,726.7,0.0500002,2428.45
7.45,1342.94,165.36,-23.1658,-2.733,726,0.0499997,2423.34
7.5,1350.87,164.088,-23.121,-2.785,725.2,0.0500002,2418.33
7.55,1358.73,162.826,-23.0683,-2.836,724.5,0.0500002,2413.36
7.6,1366.55,161.58,-23.0042,-2.887,723.8,0.0499997,2409.03
7.65,1374.32,160.344,-22.9336,-2.938,723.1,0.0500002,2404.24
7.7,1382.02,159.117,-22.8588,-2.989,722.3,0.0499997,2399.53
7.75,1389.68,157.902,-22.7764,-3.04,721.6,0.0500002,2394.9
7.8,1397.3,156.711,-22.678,-3.09,720.9,0.0500002,2390.48
7.85,1404.88,155.542,-22.5639,-3.14,720.2,0.0499997,2386.27
7.9,1412.41,154.39,-22.4407,-3.19,719.5,0.0500002,2382.64
7.95,1419.89,153.25,-22.3136,-3.239,718.8,0.0499997,2378.66
8,1427.33,152.132,-22.1738,-3.289,718.1,0.0500002,2374.88
8.05,1434.73,151.03,-22.0269,-3.338,717.4,0.0500002,2371.24
8.1,1442.09,149.948,-21.8705,-3.386,716.8,0.0500002,2367.75
8.15,1449.4,148.882,-21.7076,-3.435,716.1,0.0499992,2364.44
8.2,1456.68,147.831,-21.5414,-3.483,715.4,0.0500002,2361.63
8.25,1463.9,146.788,-21.3783,-3.531,714.7,0.0500002,2358.47
8.3,1471.07,145.753,-21.2168,-3.579,714,0.0500002,2355.38
8.35,1478.21,144.734,-21.0519,-3.627,713.4,0.0500002,2352.39
8.4,1485.31,143.735,-20.8781,-3.674,712.7,0.0499992,2349.62
8.45,1492.37,142.754,-20.698,-3.721,712,0.0500002,2347.02
8.5,1499.4,141.794,-20.5104,-3.768,711.4,0.0500002,2344.58
8.55,1506.4,140.859,-20.31,-3.815,710.7,0.0500002,2342.74
8.6,1513.36,139.94,-20.1069,-3.861,710.1,0.0500002,2340.68
8.65,1520.28,139.034,-19.9043,-3.908,709.4,0.0499992,2338.74
8.7,1527.17,138.141,-19.7018,-3.954,708.8,0.0500002,2336.9
8.75,1534.01,137.258,-19.5016,-3.999,708.1,0.0500002,2335.15
8.8,1540.82,136.385,-19.3048,-4.045,707.5,0.0500002,2333.47
8.85,1547.59,135.522,-19.1119,-4.09,706.9,0.0500002,2331.85
8.9,1554.32,134.672,-18.9181,-4.135,706.2,0.0499992,2330.66
8.95,1561,133.827,-18.732,-4.18,705.6,0.0500002,2329.18
9,1567.66,133,-18.5409,-4.225,705,0.0500002,2327.87
9.05,1574.3,132.192,-18.3451,-4.269,704.3,0.0500002,2326.74
9.1,1580.9,131.407,-18.1389,-4.313,703.7,0.0500002,2325.82
9.15,1587.48,130.631,-17.9365,-4.357,703.1,0.0499992,2324.97
9.2,1594.02,129.876,-17.7279,-4.401,702.5,0.0500002,2324.3
9.25,1600.53,129.126,-17.5258,-4.444,701.9,0.0500002,2323.93
9.3,1607.01,128.385,-17.3285,-4.487,701.3,0.0500002,2323.36
9.35,1613.44,127.645,-17.1426,-4.53,700.7,0.0500002,2322.77
9.4,1619.84,126.917,-16.957,-4.573,700.1,0.0499992,2322.28
9.45,1626.2,126.19,-16.7816,-4.616,699.5,0.0500002,2321.79
9.5,1632.54,125.476,-16.6065,-4.658,699,0.0500002,2321.38
9.55,1638.84,124.767,-16.4363,-4.7,698.4,0.0500002,2321.03
9.6,1645.12,124.081,-16.2565,-4.742,697.8,0.0500002,2320.89
9.65,1651.38,123.408,-16.0751,-4.784,697.3,0.0499992,2321.06
9.7,1657.61,122.752,-15.889,-4.825,696.7,0.0500002,2321.18
9.75,1663.81,122.105,-15.7051,-4.867,696.2,0.0500002,2321.35
9.8,1669.98,121.459,-15.531,-4.908,695.6,0.0500002,2321.53
9.85,1676.11,120.816,-15.3649,-4.949,695.1,0.0500002,2321.7
9.9,1682.21,120.18,-15.2027,-4.989,694.5,0.0499992,2321.93
9.95,1688.28,119.552,-15.0428,-5.03,694,0.0500002,2322.21
10,1694.32,118.922,-14.895,-5.07,693.5,0.0500002,2322.45
10.05,1700.32,118.293,-14.7551,-5.11,692.9,0.0500002,2322.88
10.1,1706.3,117.678,-14.6109,-5.15,692.4,0.0500002,2323.23
10.15,1712.25,117.067,-14.4719,-5.189,691.9,0.0499992,2323.59
10.2,1718.17,116.47,-14.3289,-5.229,691.3,0.0500002,2324.09
10.25,1724.07,115.872,-14.1942,-5.268,690.8,0.0500002,2324.56
10.3,1729.93,115.28,-14.0632,-5.307,690.3,0.0500002,2325.06
10.35,1735.77,114.696,-13.9327,-5.345,689.8,0.0500002,2325.62
10.4,1741.59,114.125,-13.7975,-5.384,689.3,0.0499992,2326.29
10.45,1747.38,113.562,-13.663,-5.422,688.8,0.0500002,2327.02
10.5,1753.14,113.001,-13.5339,-5.46,688.2,0.0500002,2327.92
10.55,1758.88,112.444,-13.4087,-5.498,687.7,0.0500002,2328.67
10.6,1764.57,111.88,-13.2974,-5.536,687.2,0.0500002,2329.33
10.65,1770.24,111.317,-13.1915,-5.574,686.7,0.0499992,2329.99
10.7,1775.87,110.755,-13.0917,-5.611,686.2,0.0500002,2330.63
10.75,1781.47,110.19,-13.0007,-5.648,685.7,0.0500002,2331.23
10.8,1787.05,109.629,-12.911,-5.685,685.2,0.0500002,2331.86
10.85,1792.6,109.076,-12.8201,-5.721,684.8,0.0500002,2332.54
10.9,1798.12,108.524,-12.734,-5.758,684.3,0.0499992,2333.21
10.95,1803.61,107.97,-12.6541,-5.794,683.8,0.0500002,2333.99
11,1809.08,107.429,-12.5682,-5.83,683.3,0.0500002,2334.73
11.05,1814.53,106.894,-12.4801,-5.866,682.8,0.0500002,2335.53
11.1,1819.96,106.365,-12.3923,-5.902,682.3,0.0500002,2336.36
11.15,1825.35,105.834,-12.3103,-5.937,681.9,0.0499992,2337.15
11.2,1830.71,105.303,-12.2334,-5.973,681.4,0.0500002,2337.93
11.25,1836.05,104.775,-12.1579,-6.008,680.9,0.0500002,2338.72
11.3,1841.36,104.25,-12.0834,-6.042,680.5,0.0500002,2339.52
11.35,1846.64,103.725,-12.0132,-6.077,680,0.0500002,2340.31
11.4,1851.89,103.195,-11.9516,-6.112,679.5,0.0499992,2341.04
11.45,1857.1,102.663,-11.8949,-6.146,679.1,0.0500002,2341.84
11.5,1862.29,102.129,-11.8437,-6.18,678.6,0.0500002,2342.5
11.55,1867.45,101.597,-11.7937,-6.214,678.2,0.0500002,2343.15
11.6,1872.58,101.068,-11.7435,-6.248,677.7,0.0500002,2343.83
11.65,1877.69,100.536,-11.6993,-6.281,677.3,0.0499992,2344.45
11.7,1882.76,100.006,-11.6553,-6.314,676.8,0.0500002,2345.09
11.75,1887.81,99.4754,-11.6144,-6.347,676.4,0.0500002,2345.7
11.8,1892.83,98.9456,-11.575,-6.38,676,0.0500002,2346.31
11.85,1897.83,98.4174,-11.536,-6.413,675.5,0.0500002,2346.92
11.9,1902.79,97.8857,-11.5025,-6.446,675.1,0.0499992,2347.48
11.95,1907.73,97.3577,-11.4673,-6.478,674.6,0.0500002,2348.08
12,1912.64,96.8319,-11.4317,-6.51,674.2,0.0500002,2348.67
12.05,1917.52,96.3057,-11.3981,-6.542,673.8,0.0500002,2349.33
12.1,1922.39,95.7847,-11.3613,-6.574,673.4,0.0500002,2349.94
12.15,1927.22,95.262,-11.3277,-6.605,672.9,0.0499992,2350.53
12.2,1932.02,94.7414,-11.2935,-6.637,672.5,0.0500002,2351.11
12.25,1936.8,94.2193,-11.2623,-6.668,672.1,0.0500002,2351.67
12.3,1941.54,93.6911,-11.2382,-6.699,671.7,0.0500002,2352.17
12.35,1946.26,93.1617,-11.2163,-6.73,671.3,0.0500002,2352.64
12.4,1950.94,92.6265,-11.2009,-6.76,670.9,0.0499992,2353.04
12.45,1955.6,92.0958,-11.1819,-6.791,670.5,0.0500002,2353.48
12.5,1960.22,91.5609,-11.1677,-6.821,670.1,0.0500002,2353.86
12.55,1964.82,91.0252,-11.1548,-6.851,669.7,0.0500002,2354.23
12.6,1969.39,90.4892,-11.1428,-6.881,669.3,0.0500002,2354.59
12.65,1973.94,89.9571,-11.1274,-6.91,668.9,0.0499992,2355.04
12.7,1978.45,89.4239,-11.1137,-6.94,668.5,0.0500002,2355.4
12.75,1982.94,88.8871,-11.1039,-6.969,668.1,0.0500002,2355.72
12.8,1987.41,88.3595,-11.0854,-6.998,667.7,0.0500002,2356.1
12.85,1991.84,87.8265,-11.0728,-7.027,667.3,0.0500002,2356.43
12.9,1996.24,87.2873,-11.0664,-7.056,666.9,0.0499992,2356.7
12.95,2000.62,86.7544,-11.0541,-7.084,666.5,0.0500002,2357.01
13,2004.97,86.217,-11.0463,-7.113,666.2,0.0500002,2357.26
13.05,2009.3,85.6846,-11.034,-7.141,665.8,0.0500002,2357.56
13.1,2013.6,85.1542,-11.0199,-7.169,665.4,0.0500002,2357.86
13.15,2017.87
